"","bike_id","start_time","stop_time","start_station","start_lat","start_long","end_station","end_lat","end_long","type","birth_year","gender","date","day","month","year","distance_meters","journey_time","age","age_group"
"1","26301",2018-02-26 19:11:03.707,2018-02-26 19:15:40.805,"3186",40.7195861164717,-74.0431174635887,"3203",40.727595966,-74.044247311,"Subscriber",1986,"Male",2018-02-26,"Mon","Feb",2018,894.589652479464,4.62,32,"26 to 50"
"2","26301",2018-02-27 07:52:49.151,2018-02-27 07:58:13.075,"3203",40.727595966,-74.044247311,"3202",40.7272235,-74.0337589,"Subscriber",1979,"Male",2018-02-27,"Tue","Feb",2018,887.034798486002,5.4,39,"26 to 50"
"3","26301",2018-02-27 12:03:27.596,2018-02-27 12:04:54.123,"3202",40.7272235,-74.0337589,"3638",40.7242941,-74.0354826,"Subscriber",1963,"Male",2018-02-27,"Tue","Feb",2018,356.412674642091,1.44,55,"50+"
"4","26301",2018-02-27 13:53:51.997,2018-02-27 14:21:04.942,"3638",40.7242941,-74.0354826,"3638",40.7242941,-74.0354826,"Subscriber",1984,"Male",2018-02-27,"Tue","Feb",2018,0,27.22,34,"26 to 50"
"5","26301",2018-02-27 14:30:42.847,2018-02-27 14:33:11.381,"3638",40.7242941,-74.0354826,"3187",40.7211236,-74.03805095,"Subscriber",1980,"Male",2018-02-27,"Tue","Feb",2018,413.576249194591,2.48,38,"26 to 50"
"6","26301",2018-02-27 16:31:04.002,2018-02-27 16:33:27.957,"3187",40.7211236,-74.03805095,"3638",40.7242941,-74.0354826,"Subscriber",1980,"Male",2018-02-27,"Tue","Feb",2018,413.576249194591,2.4,38,"26 to 50"
"7","26301",2018-02-27 17:37:12.586,2018-02-27 17:40:49.578,"3638",40.7242941,-74.0354826,"3639",40.7192517,-74.034234,"Subscriber",1989,"Male",2018-02-27,"Tue","Feb",2018,569.801511778368,3.62,29,"26 to 50"
"8","26301",2018-02-27 17:49:10.13,2018-02-27 17:55:03.029,"3639",40.7192517,-74.034234,"3202",40.7272235,-74.0337589,"Subscriber",1962,"Male",2018-02-27,"Tue","Feb",2018,886.166460868366,5.88,56,"50+"
"9","26301",2018-02-27 18:21:57.964,2018-02-27 18:25:18.166,"3202",40.7272235,-74.0337589,"3638",40.7242941,-74.0354826,"Subscriber",1992,"Male",2018-02-27,"Tue","Feb",2018,356.412674642091,3.34,26,"26 to 50"
"10","26301",2018-02-27 22:08:55.336,2018-02-27 22:28:42.462,"3638",40.7242941,-74.0354826,"3281",40.7459099663156,-74.0572714805603,"Subscriber",1981,"Male",2018-02-27,"Tue","Feb",2018,3024.82255240066,19.79,37,"26 to 50"
